repo,repo_id,project,has_funding_yml,funding_yml_path,has_funding_links,funding_link_platforms,has_funding_json_file,status,fetched_at
cpython-team/python3-defaults,gl/debian-27547,salsa.debian.org/cpython-team/python3-defaults,False,,False,,False,ok,2026-07-06T15:18:51Z
debian/bzip2,gl/debian-9696,salsa.debian.org/debian/bzip2,False,,False,,False,ok,2026-07-06T15:18:51Z
debian/ca-certificates,gl/debian-2995,salsa.debian.org/debian/ca-certificates,False,,False,,False,ok,2026-07-06T15:18:51Z
debian/gdbm,gl/debian-32157,salsa.debian.org/debian/gdbm,False,,False,,False,ok,2026-07-06T15:18:51Z
debian/giflib,gl/debian-12522,salsa.debian.org/debian/giflib,False,,False,,False,ok,2026-07-06T15:18:51Z
fontconfig/fontconfig,gl/freedesktop-890,gitlab.freedesktop.org/fontconfig/fontconfig,False,,False,,False,ok,2026-07-06T15:18:51Z
gnome/gdk-pixbuf,gl/gnome-1548,gitlab.gnome.org/gnome/gdk-pixbuf,False,,False,,False,ok,2026-07-06T15:18:52Z
gnome/glib,gl/gnome-658,gitlab.gnome.org/gnome/glib,False,,False,,False,ok,2026-07-06T15:18:52Z
gnome/libxml2,gl/gnome-1665,gitlab.gnome.org/gnome/libxml2,False,,False,,False,ok,2026-07-06T15:18:52Z
gnutls/gnutls,gl/179611,gitlab.com/gnutls/gnutls,False,,False,,False,ok,2026-07-06T15:18:51Z
gnutls/libtasn1,gl/919981,gitlab.com/gnutls/libtasn1,False,,False,,False,ok,2026-07-06T15:18:52Z
holmgren/nettle,gl/debian-50952,salsa.debian.org/holmgren/nettle,False,,False,,False,ok,2026-07-06T15:18:52Z
libidn/libidn2,gl/2882658,gitlab.com/libidn/libidn2,False,,False,,False,ok,2026-07-06T15:18:53Z
libtiff/libtiff,gl/4720790,gitlab.com/libtiff/libtiff,False,,False,,False,ok,2026-07-06T15:18:53Z
md/tcp-wrappers,gl/debian-28852,salsa.debian.org/md/tcp-wrappers,False,,False,,False,ok,2026-07-06T15:18:53Z
mpc/mpc,gl/inria-22470,gitlab.inria.fr/mpc/mpc,False,,False,,False,ok,2026-07-06T15:18:52Z
mpfr/mpfr,gl/inria-33626,gitlab.inria.fr/mpfr/mpfr,False,,False,,False,ok,2026-07-06T15:18:52Z
multimedia-team/aom,gl/debian-29534,salsa.debian.org/multimedia-team/aom,False,,False,,False,ok,2026-07-06T15:18:53Z
pixman/pixman,gl/freedesktop-158,gitlab.freedesktop.org/pixman/pixman,False,,False,,False,ok,2026-07-12T19:59:11Z
takluyver/jeepney,gl/2780772,gitlab.com/takluyver/jeepney,False,,False,,False,ok,2026-07-06T15:18:53Z
xorg-team/lib/libx11,gl/debian-4306,salsa.debian.org/xorg-team/lib/libx11,False,,False,,False,ok,2026-07-06T15:18:53Z
xorg-team/lib/libxau,gl/debian-4307,salsa.debian.org/xorg-team/lib/libxau,False,,False,,False,ok,2026-07-06T15:18:53Z
xorg-team/lib/libxdmcp,gl/debian-4313,salsa.debian.org/xorg-team/lib/libxdmcp,False,,False,,False,ok,2026-07-06T15:18:53Z
xorg-team/lib/libxext,gl/debian-4314,salsa.debian.org/xorg-team/lib/libxext,False,,False,,False,ok,2026-07-06T15:18:54Z
xorg-team/lib/libxrender,gl/debian-4328,salsa.debian.org/xorg-team/lib/libxrender,False,,False,,False,ok,2026-07-06T15:18:55Z
xorg/proto/xorgproto,gl/freedesktop-788,gitlab.freedesktop.org/xorg/proto/xorgproto,False,,False,,False,ok,2026-07-06T15:18:54Z
