spdx_id,spdx_id_canonical,name,source,is_deprecated,reference,osi_url,fetched_at
0bsd,0BSD,BSD Zero Clause License,osi,False,https://spdx.org/licenses/0BSD.html,https://opensource.org/license/0BSD,2026-05-03T22:48:48Z
aal,AAL,Attribution Assurance License,osi,False,https://spdx.org/licenses/AAL.html,https://opensource.org/license/AAL,2026-05-03T22:48:48Z
afl-1.1,AFL-1.1,Academic Free License v1.1,osi,False,https://spdx.org/licenses/AFL-1.1.html,http://wayback.archive.org/web/20021004124254/http://www.opensource.org/licenses/academic.php,2026-05-03T22:48:48Z
afl-1.2,AFL-1.2,Academic Free License v1.2,osi,False,https://spdx.org/licenses/AFL-1.2.html,http://wayback.archive.org/web/20021204204652/http://www.opensource.org/licenses/academic.php,2026-05-03T22:48:48Z
afl-2.0,AFL-2.0,Academic Free License v2.0,osi,False,https://spdx.org/licenses/AFL-2.0.html,http://wayback.archive.org/web/20060924134533/http://www.opensource.org/licenses/afl-2.0.txt,2026-05-03T22:48:48Z
afl-2.1,AFL-2.1,Academic Free License v2.1,osi,False,https://spdx.org/licenses/AFL-2.1.html,,2026-05-03T22:48:48Z
afl-3.0,AFL-3.0,Academic Free License v3.0,osi,False,https://spdx.org/licenses/AFL-3.0.html,https://opensource.org/license/AFL-3.0,2026-05-03T22:48:48Z
agpl-3.0,AGPL-3.0,GNU Affero General Public License v3.0,osi,True,https://spdx.org/licenses/AGPL-3.0.html,https://opensource.org/license/AGPL-3.0,2026-05-03T22:48:48Z
agpl-3.0-only,AGPL-3.0-only,GNU Affero General Public License v3.0 only,osi,False,https://spdx.org/licenses/AGPL-3.0-only.html,https://opensource.org/license/AGPL-3.0-only,2026-05-03T22:48:48Z
agpl-3.0-or-later,AGPL-3.0-or-later,GNU Affero General Public License v3.0 or later,osi,False,https://spdx.org/licenses/AGPL-3.0-or-later.html,https://opensource.org/license/AGPL-3.0,2026-05-03T22:48:48Z
alglib-documentation,ALGLIB-Documentation,ALGLIB Documentation License,osi,False,https://spdx.org/licenses/ALGLIB-Documentation.html,,2026-05-03T22:48:48Z
