repo,repo_id,total_commits_git_full,contributors_git_full,bf_commits_git_full,bf_commits_git_full_p,hhi_commits_git_full,hhi_commits_git_full_p,commits_git_5y,active_contributors_git_5y,bf_commits_git_5y,bf_commits_git_5y_p,hhi_commits_git_5y,hhi_commits_git_5y_p,score,comment,git_fetched_at
7rulnik/source-map-js,gh/330043541,436,69,1,100.0,2778,27.75,39,9,1,100.0,4333,38.21,65.83,,2026-05-19T11:22:35+00:00
acornjs/acorn,gh/5932749,1516,140,1,100.0,2963,30.84,294,48,2,26.04,2593,20.06,36.01,,2026-05-19T11:22:35+00:00
acornjs/acorn-jsx,gh/22187098,489,51,2,34.26,3390,35.86,6,4,1,100.0,3333,27.75,57.73,,2026-05-19T11:22:35+00:00
agronholm/anyio,gh/145337588,1237,65,1,100.0,7264,72.57,813,58,1,100.0,6210,54.64,78.80,,2026-05-19T11:22:35+00:00
agronholm/exceptiongroup,gh/447694800,206,8,1,100.0,7737,76.84,206,8,1,100.0,7737,66.28,87.96,,2026-05-19T11:22:35+00:00
ai/nanoid,gh/99401299,1141,144,1,100.0,6759,67.77,415,69,1,100.0,6247,54.86,79.04,,2026-05-19T11:22:35+00:00
aio-libs-abandoned/async-timeout,gh/67703198,812,22,1,100.0,4703,49.63,480,12,1,100.0,4750,42.16,68.92,,2026-05-19T11:22:36+00:00
aio-libs/aiobotocore,gh/36618494,860,69,2,34.26,2266,21.02,340,40,1,100.0,4672,41.3,68.35,,2026-05-19T11:22:35+00:00
aio-libs/aiohttp,gh/13258039,11833,770,2,34.26,2299,21.56,5080,240,2,26.04,1898,15.05,30.81,,2026-05-19T11:22:35+00:00
aio-libs/aiosignal,gh/205007356,755,8,2,34.26,2864,29.24,572,8,1,100.0,3494,29.14,59.11,,2026-05-19T11:22:36+00:00
aio-libs/frozenlist,gh/204197530,892,16,2,34.26,3034,32.12,587,15,1,100.0,4466,40.02,66.83,,2026-05-19T11:22:36+00:00
aio-libs/multidict,gh/51206425,1574,55,2,34.26,3742,40.45,720,27,1,100.0,3515,29.24,59.29,,2026-05-19T11:22:36+00:00
aio-libs/propcache,gh/866565706,168,11,1,100.0,4904,52.61,168,11,1,100.0,4904,43.44,70.03,,2026-05-19T11:22:37+00:00
aio-libs/yarl,gh/64756820,1830,93,2,34.26,2338,22.09,1049,46,2,26.04,3598,30.52,42.41,,2026-05-19T11:22:37+00:00
